Country,Year,Type,Oil Imports (KBD),CI Low (KBD),CI High (KBD)
China,1971,Historical,2.0,,
China,1972,Historical,3.0,,
China,1973,Historical,3.0,,
China,1974,Historical,3.0,,
China,1975,Historical,4.0,,
China,1976,Historical,3.0,,
China,1977,Historical,14.0,,
China,1978,Historical,18.0,,
China,1979,Historical,7.0,,
China,1980,Historical,16.0,,
China,1981,Historical,14.0,,
China,1982,Historical,31.0,,
China,1983,Historical,26.0,,
China,1984,Historical,22.0,,
China,1985,Historical,22.0,,
China,1986,Historical,70.0,,
China,1987,Historical,72.0,,
China,1988,Historical,96.0,,
China,1989,Historical,199.0,,
China,1990,Historical,130.0,,
China,1991,Historical,218.0,,
China,1992,Historical,374.0,,
China,1993,Historical,687.0,,
China,1994,Historical,536.0,,
China,1995,Historical,701.0,,
China,1996,Historical,867.0,,
China,1997,Historical,1327.0,,
China,1998,Historical,1125.0,,
China,1999,Historical,1249.0,,
China,2000,Historical,1918.0,,
China,2001,Historical,1785.0,,
China,2002,Historical,2024.0,,
China,2003,Historical,2610.0,,
China,2004,Historical,3404.0,,
China,2005,Historical,3382.0,,
China,2006,Historical,3815.0,,
China,2007,Historical,4126.0,,
China,2008,Historical,4499.0,,
China,2009,Historical,5045.0,,
China,2010,Historical,5735.0,,
China,2011,Historical,6157.0,,
China,2012,Historical,6449.0,,
China,2013,Historical,6709.0,,
China,2014,Historical,7150.0,,
China,2015,Historical,7884.0,,
China,2016,Historical,8858.0,,
China,2017,Historical,9811.7,,
China,2018,Historical,10782.4,,
China,2019,Historical,11617.0,,
China,2020,Historical,12273.3,,
China,2021,Historical,11859.1,,
China,2022,Historical,11856.7,,
China,2023,Historical,13621.2,,
China,2024,Historical,0.0,,
China,2024,Forecast,6987.5,,
China,2025,Forecast,-12690.9,-16605.4,-8776.4
China,2026,Forecast,19035.0,,
China,2027,Forecast,-24130.3,-33166.8,-15093.7
China,2028,Forecast,29894.4,,
China,2029,Forecast,-34441.5,-49429.7,-19453.3
China,2030,Forecast,39682.8,,
Usa,1971,Historical,3916.0,,
Usa,1972,Historical,4717.0,,
Usa,1973,Historical,6175.0,,
Usa,1974,Historical,6027.0,,
Usa,1975,Historical,6370.0,,
Usa,1976,Historical,7529.0,,
Usa,1977,Historical,9272.0,,
Usa,1978,Historical,8657.0,,
Usa,1979,Historical,8632.0,,
Usa,1980,Historical,6995.0,,
Usa,1981,Historical,6111.0,,
Usa,1982,Historical,5292.0,,
Usa,1983,Historical,5232.0,,
Usa,1984,Historical,5617.0,,
Usa,1985,Historical,5270.0,,
Usa,1986,Historical,6434.0,,
Usa,1987,Historical,6885.0,,
Usa,1988,Historical,7554.0,,
Usa,1989,Historical,8186.0,,
Usa,1990,Historical,8211.0,,
Usa,1991,Historical,7849.0,,
Usa,1992,Historical,8235.0,,
Usa,1993,Historical,8995.0,,
Usa,1994,Historical,9385.0,,
Usa,1995,Historical,9197.0,,
Usa,1996,Historical,9895.0,,
Usa,1997,Historical,10655.0,,
Usa,1998,Historical,11177.0,,
Usa,1999,Historical,11333.0,,
Usa,2000,Historical,11983.0,,
Usa,2001,Historical,12445.0,,
Usa,2002,Historical,12111.0,,
Usa,2003,Historical,12899.0,,
Usa,2004,Historical,13797.0,,
Usa,2005,Historical,14351.0,,
Usa,2006,Historical,14359.0,,
Usa,2007,Historical,14097.0,,
Usa,2008,Historical,13551.0,,
Usa,2009,Historical,12292.0,,
Usa,2010,Historical,12390.0,,
Usa,2011,Historical,11862.0,,
Usa,2012,Historical,10677.0,,
Usa,2013,Historical,9950.0,,
Usa,2014,Historical,9353.0,,
Usa,2015,Historical,9540.0,,
Usa,2016,Historical,10098.0,,
Usa,2017,Historical,10216.4,,
Usa,2018,Historical,10042.7,,
Usa,2019,Historical,9232.4,,
Usa,2020,Historical,7991.8,,
Usa,2021,Historical,8542.5,,
Usa,2022,Historical,8365.4,,
Usa,2023,Historical,8595.8,,
Usa,2024,Historical,8383.9,,
Usa,2024,Forecast,8249.6,7388.7,9110.5
Usa,2025,Forecast,8146.2,6622.7,9669.7
Usa,2026,Forecast,8055.0,5939.1,10170.8
Usa,2027,Forecast,7968.7,5312.3,10625.0
Usa,2028,Forecast,7884.3,4722.6,11046.0
Usa,2029,Forecast,7800.7,4156.7,11444.6
Usa,2030,Forecast,7717.4,3605.9,11828.8
India,1971,Historical,302.0,,
India,1972,Historical,308.0,,
India,1973,Historical,352.0,,
India,1974,Historical,342.0,,
India,1975,Historical,323.0,,
India,1976,Historical,330.0,,
India,1977,Historical,350.0,,
India,1978,Historical,371.0,,
India,1979,Historical,424.0,,
India,1980,Historical,474.0,,
India,1981,Historical,415.0,,
India,1982,Historical,447.0,,
India,1983,Historical,411.0,,
India,1984,Historical,393.0,,
India,1985,Historical,399.0,,
India,1986,Historical,381.0,,
India,1987,Historical,441.0,,
India,1988,Historical,489.0,,
India,1989,Historical,534.0,,
India,1990,Historical,605.0,,
India,1991,Historical,686.0,,
India,1992,Historical,831.0,,
India,1993,Historical,882.0,,
India,1994,Historical,851.0,,
India,1995,Historical,973.0,,
India,1996,Historical,1109.0,,
India,1997,Historical,1194.0,,
India,1998,Historical,1325.0,,
India,1999,Historical,1542.0,,
India,2000,Historical,1709.0,,
India,2001,Historical,1758.0,,
India,2002,Historical,1832.0,,
India,2003,Historical,2031.0,,
India,2004,Historical,2163.0,,
India,2005,Historical,2319.0,,
India,2006,Historical,2657.0,,
India,2007,Historical,2980.0,,
India,2008,Historical,3110.0,,
India,2009,Historical,3565.0,,
India,2010,Historical,3735.0,,
India,2011,Historical,3882.0,,
India,2012,Historical,4142.0,,
India,2013,Historical,4249.0,,
India,2014,Historical,4354.0,,
India,2015,Historical,4786.0,,
India,2016,Historical,5136.0,,
India,2017,Historical,5273.6,,
India,2018,Historical,5400.4,,
India,2019,Historical,5668.1,,
India,2020,Historical,5032.7,,
India,2021,Historical,5302.9,,
India,2022,Historical,6007.3,,
India,2023,Historical,6291.3,,
India,2024,Historical,0.0,,
India,2024,Forecast,-8445.2,-9325.4,-7565.0
India,2025,Forecast,-13647.4,-16173.3,-11121.4
India,2026,Forecast,-10413.6,-14734.6,-6092.6
India,2027,Forecast,-8076.9,-13451.2,-2702.5
India,2028,Forecast,-11178.7,-17215.1,-5142.3
India,2029,Forecast,-20854.5,-27642.3,-14066.7
India,2030,Forecast,-26476.8,-34736.7,-18216.9
Korea,1971,Historical,234.0,,
Korea,1972,Historical,253.0,,
Korea,1973,Historical,283.0,,
Korea,1974,Historical,313.0,,
Korea,1975,Historical,328.0,,
Korea,1976,Historical,362.0,,
Korea,1977,Historical,438.0,,
Korea,1978,Historical,466.0,,
Korea,1979,Historical,536.0,,
Korea,1980,Historical,538.0,,
Korea,1981,Historical,540.0,,
Korea,1982,Historical,543.0,,
Korea,1983,Historical,587.0,,
Korea,1984,Historical,612.0,,
Korea,1985,Historical,608.0,,
Korea,1986,Historical,715.0,,
Korea,1987,Historical,723.0,,
Korea,1988,Historical,827.0,,
Korea,1989,Historical,946.0,,
Korea,1990,Historical,1120.0,,
Korea,1991,Historical,1392.0,,
Korea,1992,Historical,1760.0,,
Korea,1993,Historical,1988.0,,
Korea,1994,Historical,2122.0,,
Korea,1995,Historical,2318.0,,
Korea,1996,Historical,2617.0,,
Korea,1997,Historical,2955.0,,
Korea,1998,Historical,2774.0,,
Korea,1999,Historical,2946.0,,
Korea,2000,Historical,3048.0,,
Korea,2001,Historical,2965.0,,
Korea,2002,Historical,2816.0,,
Korea,2003,Historical,2788.0,,
Korea,2004,Historical,2832.0,,
Korea,2005,Historical,2817.0,,
Korea,2006,Historical,2956.0,,
Korea,2007,Historical,2969.0,,
Korea,2008,Historical,2968.0,,
Korea,2009,Historical,3062.0,,
Korea,2010,Historical,3177.0,,
Korea,2011,Historical,3304.0,,
Korea,2012,Historical,3447.0,,
Korea,2013,Historical,3395.0,,
Korea,2014,Historical,3436.0,,
Korea,2015,Historical,3660.0,,
Korea,2016,Historical,3869.0,,
Korea,2017,Historical,3927.8,,
Korea,2018,Historical,3994.8,,
Korea,2019,Historical,3892.1,,
Korea,2020,Historical,3625.8,,
Korea,2021,Historical,3715.3,,
Korea,2022,Historical,3793.1,,
Korea,2023,Historical,3777.6,,
Korea,2024,Historical,3854.7,,
Korea,2024,Forecast,3926.2,3782.7,4069.7
Korea,2025,Forecast,3995.5,3746.4,4244.7
Korea,2026,Forecast,4064.0,3724.7,4403.2
Korea,2027,Forecast,4132.0,3714.5,4549.6
Korea,2028,Forecast,4200.0,3712.7,4687.3
Korea,2029,Forecast,4267.9,3717.1,4818.7
Korea,2030,Forecast,4335.7,3726.1,4945.3
Japan,1971,Historical,4414.0,,
Japan,1972,Historical,4711.0,,
Japan,1973,Historical,5526.0,,
Japan,1974,Historical,5478.0,,
Japan,1975,Historical,4996.0,,
Japan,1976,Historical,5248.0,,
Japan,1977,Historical,5448.0,,
Japan,1978,Historical,5330.0,,
Japan,1979,Historical,5610.0,,
Japan,1980,Historical,5094.0,,
Japan,1981,Historical,4634.0,,
Japan,1982,Historical,4447.0,,
Japan,1983,Historical,4415.0,,
Japan,1984,Historical,4578.0,,
Japan,1985,Historical,4352.0,,
Japan,1986,Historical,4469.0,,
Japan,1987,Historical,4531.0,,
Japan,1988,Historical,4781.0,,
Japan,1989,Historical,5167.0,,
Japan,1990,Historical,5474.0,,
Japan,1991,Historical,5362.0,,
Japan,1992,Historical,5608.0,,
Japan,1993,Historical,5545.0,,
Japan,1994,Historical,5913.0,,
Japan,1995,Historical,5885.0,,
Japan,1996,Historical,5895.0,,
Japan,1997,Historical,5809.0,,
Japan,1998,Historical,5549.0,,
Japan,1999,Historical,5564.0,,
Japan,2000,Historical,5648.0,,
Japan,2001,Historical,5316.0,,
Japan,2002,Historical,5412.0,,
Japan,2003,Historical,5451.0,,
Japan,2004,Historical,5378.0,,
Japan,2005,Historical,5509.0,,
Japan,2006,Historical,5277.0,,
Japan,2007,Historical,5241.0,,
Japan,2008,Historical,5039.0,,
Japan,2009,Historical,4623.0,,
Japan,2010,Historical,4758.0,,
Japan,2011,Historical,4754.0,,
Japan,2012,Historical,4831.0,,
Japan,2013,Historical,4717.0,,
Japan,2014,Historical,4432.0,,
Japan,2015,Historical,4402.0,,
Japan,2016,Historical,4239.0,,
Japan,2017,Historical,4235.2,,
Japan,2018,Historical,4076.7,,
Japan,2019,Historical,3974.2,,
Japan,2020,Historical,3374.3,,
Japan,2021,Historical,3607.6,,
Japan,2022,Historical,3675.0,,
Japan,2023,Historical,3465.5,,
Japan,2024,Historical,3355.4,,
Japan,2024,Forecast,3262.4,2929.1,3595.6
Japan,2025,Forecast,3169.4,2673.5,3665.3
Japan,2026,Forecast,3076.4,2438.4,3714.3
Japan,2027,Forecast,2983.4,2211.1,3755.7
Japan,2028,Forecast,2890.4,1986.6,3794.1
Japan,2029,Forecast,2797.4,1762.9,3831.9
Japan,2030,Forecast,2704.4,1538.6,3870.2
Singapore,1971,Historical,438.0,,
Singapore,1972,Historical,534.0,,
Singapore,1973,Historical,574.0,,
Singapore,1974,Historical,596.0,,
Singapore,1975,Historical,534.0,,
Singapore,1976,Historical,606.0,,
Singapore,1977,Historical,664.0,,
Singapore,1978,Historical,633.0,,
Singapore,1979,Historical,655.0,,
Singapore,1980,Historical,722.0,,
Singapore,1981,Historical,896.0,,
Singapore,1982,Historical,990.0,,
Singapore,1983,Historical,995.0,,
Singapore,1984,Historical,842.0,,
Singapore,1985,Historical,791.0,,
Singapore,1986,Historical,869.0,,
Singapore,1987,Historical,979.0,,
Singapore,1988,Historical,1077.0,,
Singapore,1989,Historical,1083.0,,
Singapore,1990,Historical,1207.0,,
Singapore,1991,Historical,1259.0,,
Singapore,1992,Historical,1361.0,,
Singapore,1993,Historical,1496.0,,
Singapore,1994,Historical,1613.0,,
Singapore,1995,Historical,1568.0,,
Singapore,1996,Historical,1694.0,,
Singapore,1997,Historical,1755.0,,
Singapore,1998,Historical,1686.0,,
Singapore,1999,Historical,1668.0,,
Singapore,2000,Historical,1596.0,,
Singapore,2001,Historical,1653.0,,
Singapore,2002,Historical,1693.0,,
Singapore,2003,Historical,1824.0,,
Singapore,2004,Historical,2104.0,,
Singapore,2005,Historical,2139.0,,
Singapore,2006,Historical,2271.0,,
Singapore,2007,Historical,2406.0,,
Singapore,2008,Historical,2650.0,,
Singapore,2009,Historical,2855.0,,
Singapore,2010,Historical,2959.0,,
Singapore,2011,Historical,3046.0,,
Singapore,2012,Historical,2952.0,,
Singapore,2013,Historical,3010.0,,
Singapore,2014,Historical,2991.0,,
Singapore,2015,Historical,3202.0,,
Singapore,2016,Historical,3390.0,,
Singapore,2017,Historical,3570.9,,
Singapore,2018,Historical,3210.6,,
Singapore,2019,Historical,3175.7,,
Singapore,2020,Historical,2905.9,,
Singapore,2021,Historical,2825.3,,
Singapore,2022,Historical,2861.3,,
Singapore,2023,Historical,3038.1,,
Singapore,2024,Historical,0.0,,
Singapore,2024,Forecast,977.4,481.8,1473.0
Singapore,2025,Forecast,-87.4,-628.9,454.1
Singapore,2026,Forecast,-1152.1,-1836.5,-467.7
Singapore,2027,Forecast,-2216.9,-3139.6,-1294.2
Singapore,2028,Forecast,-3281.7,-4515.6,-2047.8
Singapore,2029,Forecast,-4346.4,-5947.0,-2745.8
Singapore,2030,Forecast,-5411.2,-7423.6,-3398.8
Netherlands,1971,Historical,1399.0,,
Netherlands,1972,Historical,1538.0,,
Netherlands,1973,Historical,1670.0,,
Netherlands,1974,Historical,1537.0,,
Netherlands,1975,Historical,1320.0,,
Netherlands,1976,Historical,1502.0,,
Netherlands,1977,Historical,1395.0,,
Netherlands,1978,Historical,1420.0,,
Netherlands,1979,Historical,1621.0,,
Netherlands,1980,Historical,1612.0,,
Netherlands,1981,Historical,1473.0,,
Netherlands,1982,Historical,1529.0,,
Netherlands,1983,Historical,1612.0,,
Netherlands,1984,Historical,1632.0,,
Netherlands,1985,Historical,1629.0,,
Netherlands,1986,Historical,1836.0,,
Netherlands,1987,Historical,1758.0,,
Netherlands,1988,Historical,1810.0,,
Netherlands,1989,Historical,1893.0,,
Netherlands,1990,Historical,1904.0,,
Netherlands,1991,Historical,1887.0,,
Netherlands,1992,Historical,1842.0,,
Netherlands,1993,Historical,1880.0,,
Netherlands,1994,Historical,1845.0,,
Netherlands,1995,Historical,1870.0,,
Netherlands,1996,Historical,1935.0,,
Netherlands,1997,Historical,2034.0,,
Netherlands,1998,Historical,2013.0,,
Netherlands,1999,Historical,1992.0,,
Netherlands,2000,Historical,2158.0,,
Netherlands,2001,Historical,2199.0,,
Netherlands,2002,Historical,2199.0,,
Netherlands,2003,Historical,2246.0,,
Netherlands,2004,Historical,2455.0,,
Netherlands,2005,Historical,2606.0,,
Netherlands,2006,Historical,2731.0,,
Netherlands,2007,Historical,2611.0,,
Netherlands,2008,Historical,2688.0,,
Netherlands,2009,Historical,2841.0,,
Netherlands,2010,Historical,3018.0,,
Netherlands,2011,Historical,2952.0,,
Netherlands,2012,Historical,3055.0,,
Netherlands,2013,Historical,2991.0,,
Netherlands,2014,Historical,2926.0,,
Netherlands,2015,Historical,3230.0,,
Netherlands,2016,Historical,3227.0,,
Netherlands,2017,Historical,3240.4,,
Netherlands,2018,Historical,3229.2,,
Netherlands,2019,Historical,3166.7,,
Netherlands,2020,Historical,2767.2,,
Netherlands,2021,Historical,2980.8,,
Netherlands,2022,Historical,3136.6,,
Netherlands,2023,Historical,2981.5,,
Netherlands,2024,Historical,2934.3,,
Netherlands,2024,Forecast,3143.4,3010.3,3276.6
Netherlands,2025,Forecast,3042.8,2851.4,3234.1
Netherlands,2026,Forecast,3039.3,2821.7,3256.9
Netherlands,2027,Forecast,3200.2,2961.2,3439.2
Netherlands,2028,Forecast,3153.5,2870.2,3436.8
Netherlands,2029,Forecast,3126.3,2821.6,3431.1
Netherlands,2030,Forecast,3268.2,2945.7,3590.7
Germany,1971,Historical,3002.0,,
Germany,1972,Historical,3142.0,,
Germany,1973,Historical,3411.0,,
Germany,1974,Historical,3178.0,,
Germany,1975,Historical,2932.0,,
Germany,1976,Historical,3253.0,,
Germany,1977,Historical,3250.0,,
Germany,1978,Historical,3308.0,,
Germany,1979,Historical,3409.0,,
Germany,1980,Historical,3196.0,,
Germany,1981,Historical,2732.0,,
Germany,1982,Historical,2646.0,,
Germany,1983,Historical,2590.0,,
Germany,1984,Historical,2596.0,,
Germany,1985,Historical,2644.0,,
Germany,1986,Historical,2801.0,,
Germany,1987,Historical,2699.0,,
Germany,1988,Historical,2726.0,,
Germany,1989,Historical,2610.0,,
Germany,1990,Historical,2668.0,,
Germany,1991,Historical,2816.0,,
Germany,1992,Historical,2981.0,,
Germany,1993,Historical,2984.0,,
Germany,1994,Historical,3027.0,,
Germany,1995,Historical,2964.0,,
Germany,1996,Historical,3068.0,,
Germany,1997,Historical,3088.0,,
Germany,1998,Historical,3174.0,,
Germany,1999,Historical,2974.0,,
Germany,2000,Historical,2997.0,,
Germany,2001,Historical,3066.0,,
Germany,2002,Historical,2899.0,,
Germany,2003,Historical,2925.0,,
Germany,2004,Historical,2950.0,,
Germany,2005,Historical,3020.0,,
Germany,2006,Historical,3004.0,,
Germany,2007,Historical,2776.0,,
Germany,2008,Historical,2859.0,,
Germany,2009,Historical,2682.0,,
Germany,2010,Historical,2644.0,,
Germany,2011,Historical,2531.0,,
Germany,2012,Historical,2570.0,,
Germany,2013,Historical,2633.0,,
Germany,2014,Historical,2599.0,,
Germany,2015,Historical,2645.0,,
Germany,2016,Historical,2664.0,,
Germany,2017,Historical,2715.4,,
Germany,2018,Historical,2590.3,,
Germany,2019,Historical,2647.0,,
Germany,2020,Historical,2420.7,,
Germany,2021,Historical,2450.0,,
Germany,2022,Historical,2557.9,,
Germany,2023,Historical,2337.9,,
Germany,2024,Historical,2352.0,,
Germany,2024,Forecast,2340.8,2157.8,2523.8
Germany,2025,Forecast,2329.6,2068.3,2590.8
Germany,2026,Forecast,2318.4,1995.5,2641.2
Germany,2027,Forecast,2307.2,1931.0,2683.3
Germany,2028,Forecast,2295.9,1871.7,2720.2
Germany,2029,Forecast,2284.7,1815.9,2753.5
Germany,2030,Forecast,2273.5,1762.8,2784.2
France,1971,Historical,2345.0,,
France,1972,Historical,2559.0,,
France,1973,Historical,2876.0,,
France,1974,Historical,2762.0,,
France,1975,Historical,2301.0,,
France,1976,Historical,2612.0,,
France,1977,Historical,2535.0,,
France,1978,Historical,2523.0,,
France,1979,Historical,2775.0,,
France,1980,Historical,2545.0,,
France,1981,Historical,2216.0,,
France,1982,Historical,2034.0,,
France,1983,Historical,1908.0,,
France,1984,Historical,1935.0,,
France,1985,Historical,1890.0,,
France,1986,Historical,1916.0,,
France,1987,Historical,1973.0,,
France,1988,Historical,1984.0,,
France,1989,Historical,2010.0,,
France,1990,Historical,2061.0,,
France,1991,Historical,2163.0,,
France,1992,Historical,2086.0,,
France,1993,Historical,2109.0,,
France,1994,Historical,2035.0,,
France,1995,Historical,2064.0,,
France,1996,Historical,2194.0,,
France,1997,Historical,2199.0,,
France,1998,Historical,2324.0,,
France,1999,Historical,2234.0,,
France,2000,Historical,2290.0,,
France,2001,Historical,2330.0,,
France,2002,Historical,2300.0,,
France,2003,Historical,2370.0,,
France,2004,Historical,2394.0,,
France,2005,Historical,2481.0,,
France,2006,Historical,2468.0,,
France,2007,Historical,2404.0,,
France,2008,Historical,2432.0,,
France,2009,Historical,2258.0,,
France,2010,Historical,2139.0,,
France,2011,Historical,2166.0,,
France,2012,Historical,2086.0,,
France,2013,Historical,2057.0,,
France,2014,Historical,2039.0,,
France,2015,Historical,2098.0,,
France,2016,Historical,2014.0,,
France,2017,Historical,2052.1,,
France,2018,Historical,1976.7,,
France,2019,Historical,1943.2,,
France,2020,Historical,1588.8,,
France,2021,Historical,1657.9,,
France,2022,Historical,1704.1,,
France,2023,Historical,1724.5,,
France,2024,Historical,1720.7,,
France,2024,Forecast,0.0,,
France,2025,Forecast,0.0,,
France,2026,Forecast,0.0,,
France,2027,Forecast,0.0,,
France,2028,Forecast,0.0,,
France,2029,Forecast,0.0,,
France,2030,Forecast,0.0,,
Spain,1971,Historical,755.0,,
Spain,1972,Historical,787.0,,
Spain,1973,Historical,902.0,,
Spain,1974,Historical,925.0,,
Spain,1975,Historical,881.0,,
Spain,1976,Historical,1020.0,,
Spain,1977,Historical,1008.0,,
Spain,1978,Historical,1021.0,,
Spain,1979,Historical,1039.0,,
Spain,1980,Historical,1065.0,,
Spain,1981,Historical,1044.0,,
Spain,1982,Historical,1073.0,,
Spain,1983,Historical,1092.0,,
Spain,1984,Historical,1029.0,,
Spain,1985,Historical,1007.0,,
Spain,1986,Historical,1072.0,,
Spain,1987,Historical,1081.0,,
Spain,1988,Historical,1192.0,,
Spain,1989,Historical,1206.0,,
Spain,1990,Historical,1237.0,,
Spain,1991,Historical,1281.0,,
Spain,1992,Historical,1311.0,,
Spain,1993,Historical,1275.0,,
Spain,1994,Historical,1335.0,,
Spain,1995,Historical,1370.0,,
Spain,1996,Historical,1344.0,,
Spain,1997,Historical,1428.0,,
Spain,1998,Historical,1545.0,,
Spain,1999,Historical,1543.0,,
Spain,2000,Historical,1586.0,,
Spain,2001,Historical,1598.0,,
Spain,2002,Historical,1627.0,,
Spain,2003,Historical,1656.0,,
Spain,2004,Historical,1707.0,,
Spain,2005,Historical,1771.0,,
Spain,2006,Historical,1797.0,,
Spain,2007,Historical,1814.0,,
Spain,2008,Historical,1754.0,,
Spain,2009,Historical,1653.0,,
Spain,2010,Historical,1624.0,,
Spain,2011,Historical,1602.0,,
Spain,2012,Historical,1586.0,,
Spain,2013,Historical,1571.0,,
Spain,2014,Historical,1602.0,,
Spain,2015,Historical,1688.0,,
Spain,2016,Historical,1721.0,,
Spain,2017,Historical,1807.0,,
Spain,2018,Historical,1789.5,,
Spain,2019,Historical,1772.9,,
Spain,2020,Historical,1494.7,,
Spain,2021,Historical,1545.6,,
Spain,2022,Historical,1676.9,,
Spain,2023,Historical,1634.5,,
Spain,2024,Historical,1730.0,,
Spain,2024,Forecast,1748.4,1663.0,1833.7
Spain,2025,Forecast,1766.7,1644.9,1888.6
Spain,2026,Forecast,1785.1,1634.5,1935.7
Spain,2027,Forecast,1803.4,1627.9,1978.9
Spain,2028,Forecast,1821.7,1623.8,2019.7
Spain,2029,Forecast,1840.1,1621.3,2058.9
Spain,2030,Forecast,1858.4,1620.0,2096.8
